City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
4,Champerico,GT,84.74,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
5,Rikitea,PF,75.09,light rain,-23.1203,-134.9692,People ThankYou
6,Faanui,PF,78.39,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
11,Santa Maria Da Boa Vista,BR,83.48,broken clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
14,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
18,Puerto Carreno,CO,89.58,few clouds,6.189,-67.4859,Casa Hotel Victoria
20,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
22,Kampil,IN,71.01,overcast clouds,27.6167,79.2833,Rajputas Haweli
25,Caravelas,BR,73.67,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
28,Jalu,LY,68.2,scattered clouds,29.0331,21.5482,صاحبة الفخامة
31,Pyapon,MM,70.95,few clouds,16.2833,95.6833,Aung Naing Thu Motel
33,Saint George,US,71.26,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
36,Hilo,US,82.26,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
43,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
45,Salta,AR,82.99,smoke,-24.7859,-65.4117,Hotel Alejandro I
46,Pulaski,US,78.15,few clouds,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
52,Lewisville,US,81.16,broken clouds,33.0462,-96.9942,Best Western Plus Hotel Lewisville Flower Mound
55,Kambam,ID,78.12,moderate rain,5.2505,96.8629,Rumah Rizkina Olshops
56,Sokode,TG,78.82,broken clouds,8.9833,1.1333,ESSOFA HOTEL
57,Panuco,MX,84.38,few clouds,22.05,-98.1667,Hotel Plaza
59,Eyl,SO,78.49,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
60,Kantang,TH,75.25,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
62,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Dondo,MZ,75.67,overcast clouds,-19.6094,34.7431,Pensao Casual
64,Atuona,PF,76.71,overcast clouds,-9.8,-139.0333,Villa Enata
65,Harper,LR,78.55,scattered clouds,4.375,-7.7169,Screensaver
66,Kapaa,US,80.92,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
69,Lorengau,PG,81.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
70,Manokwari,ID,78.22,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
71,Nikki,BJ,78.33,broken clouds,9.9401,3.2108,Monnon
74,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
78,Mar Del Plata,AR,77.83,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
80,San Juan,AR,92.21,overcast clouds,-31.5375,-68.5364,Hotel Provincial
86,Kavieng,PG,83.07,broken clouds,-2.5744,150.7967,Nusa Island Retreat
87,Moyale,KE,71.64,overcast clouds,3.5167,39.0584,La Tahzan Guest House
89,Bontang,ID,76.17,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
92,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
93,Butaritari,KI,80.49,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
94,Beira,MZ,78.44,overcast clouds,-19.8436,34.8389,Beira Terrace Hotel
104,Banjar,ID,76.95,overcast clouds,-8.19,114.9675,The Hamsa Resort
107,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
110,Mabaruma,GY,78.82,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
111,Malakal,SS,77.56,overcast clouds,9.5334,31.6605,Nile Palace Hotel
113,Rio Grande,BR,71.71,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
114,Lisala,CD,71.46,overcast clouds,2.15,21.5167,Guest house Eden
117,Camocim,BR,80.46,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
118,Marechal Candido Rondon,BR,74.75,broken clouds,-24.5561,-54.0567,Hotel Bender
121,Cap Malheureux,MU,74.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
124,Broken Hill,AU,69.15,broken clouds,-31.95,141.4333,Royal Exchange Hotel
125,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
126,Arraial Do Cabo,BR,73.26,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
128,Yabassi,CM,75.27,broken clouds,4.457,9.9682,MOTEL FOMI
129,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
132,Martapura,ID,73.69,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
137,Puerto Penasco,MX,72.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
140,Mogadishu,SO,78.67,broken clouds,2.0371,45.3438,Hotel Juba
141,Cabo San Lucas,MX,85.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
142,Touros,BR,78.93,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Sao Filipe,CV,78.62,overcast clouds,14.8961,-24.4956,Hotel Xaguate
146,Sattahip,TH,79.99,broken clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
147,Nanakuli,US,84.15,overcast clouds,21.3906,-158.1547,Camp Pālehua
150,Pirapozinho,BR,83.68,clear sky,-22.2753,-51.5,Chácara Gilmar Sapia
151,Rawson,AR,76.57,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
153,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
155,Sechura,PE,73.36,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
158,Cockburn Town,TC,81.59,clear sky,21.4612,-71.1419,Osprey Beach Hotel
160,Tamandare,BR,77.67,few clouds,-8.7597,-35.1047,Pousada 100 Passos
161,Necochea,AR,80.67,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
167,Vao,NC,74.79,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
174,Jawar,IN,73.22,broken clouds,23.0,76.5,Sree balaji
176,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
177,Batticaloa,LK,76.42,very heavy rain,7.7102,81.6924,Treatooo Hotel
180,Waingapu,ID,78.91,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
181,Bengkulu,ID,75.96,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
185,Ponta Do Sol,PT,70.72,light rain,32.6667,-17.1,Hotel do Campo
186,Mbandaka,CD,71.64,overcast clouds,0.0487,18.2603,Guest House Epervier
188,Itoman,JP,75.22,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
194,Hambantota,LK,77.58,moderate rain,6.1241,81.1185,Bungalow 63
199,Qui Nhon,VN,72.32,broken clouds,13.7667,109.2333,Seagull Hotel
201,Saint-Joseph,RE,76.48,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
205,Amahai,ID,78.6,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
207,Tecoanapa,MX,84.96,broken clouds,16.5167,-98.75,Hotel Manglares
208,Toamasina,MG,69.8,scattered clouds,-18.1667,49.3833,Hotel H1
