City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Aquiraz,-3.9014,-38.3911,82.49,66,89,10.13,BR,overcast clouds,2022-11-08 20:27:32
1,Yellowknife,62.456,-114.3525,10.92,85,100,3.44,CA,light snow,2022-11-08 20:27:32
2,Ushuaia,-54.8,-68.3,55.02,53,40,23.02,AR,scattered clouds,2022-11-08 20:24:11
3,Albany,42.6001,-73.9662,52.45,34,0,1.01,US,clear sky,2022-11-08 20:24:16
4,Champerico,14.3,-91.9167,84.74,70,99,3.51,GT,light rain,2022-11-08 20:27:33
5,Rikitea,-23.1203,-134.9692,75.09,90,77,15.9,PF,light rain,2022-11-08 20:27:34
6,Faanui,-16.4833,-151.75,78.39,70,93,9.95,PF,overcast clouds,2022-11-08 20:27:34
7,Verkhnyaya Toyma,62.2349,44.9985,33.4,99,100,3.2,RU,overcast clouds,2022-11-08 20:27:35
8,Mataura,-46.1927,168.8643,55.18,76,96,2.93,NZ,overcast clouds,2022-11-08 20:27:35
9,Port Alfred,-33.5906,26.891,65.17,91,56,7.67,ZA,broken clouds,2022-11-08 20:27:36
10,Lebu,-37.6167,-73.65,60.48,74,97,11.48,CL,overcast clouds,2022-11-08 20:27:36
11,Santa Maria Da Boa Vista,-8.8078,-39.8256,83.48,54,53,8.79,BR,broken clouds,2022-11-08 20:25:17
12,Punta Arenas,-53.15,-70.9167,55.51,47,40,21.85,CL,scattered clouds,2022-11-08 20:27:37
13,Jamestown,42.097,-79.2353,55.53,47,0,6.91,US,clear sky,2022-11-08 20:27:37
14,Georgetown,5.4112,100.3354,80.24,92,20,3.44,MY,few clouds,2022-11-08 20:26:36
15,Stornoway,58.2093,-6.3865,49.96,84,75,21.85,GB,broken clouds,2022-11-08 20:27:38
16,Ichinohe,40.2069,141.3017,44.94,78,92,4.81,JP,overcast clouds,2022-11-08 20:27:38
17,Cape Town,-33.9258,18.4232,62.28,68,20,4.61,ZA,few clouds,2022-11-08 20:27:39
18,Puerto Carreno,6.189,-67.4859,89.58,62,20,3.44,CO,few clouds,2022-11-08 20:27:40
19,Luderitz,-26.6481,15.1594,60.51,83,77,10.6,NA,broken clouds,2022-11-08 20:27:40
20,Acapulco,16.8634,-99.8901,85.82,74,0,8.05,MX,clear sky,2022-11-08 20:27:41
21,Dikson,73.5069,80.5464,5.34,96,100,5.26,RU,overcast clouds,2022-11-08 20:27:41
22,Kampil,27.6167,79.2833,71.01,67,92,5.57,IN,overcast clouds,2022-11-08 20:27:41
23,Khandyga,62.6667,135.6,-32.78,98,14,2.04,RU,few clouds,2022-11-08 20:27:42
24,Kaltasy,55.9693,54.8032,31.87,96,100,9.66,RU,overcast clouds,2022-11-08 20:27:42
25,Caravelas,-17.7125,-39.2481,73.67,70,100,7.16,BR,overcast clouds,2022-11-08 20:27:43
26,East London,-33.0153,27.9116,66.07,87,35,5.77,ZA,scattered clouds,2022-11-08 20:27:42
27,Talnakh,69.4865,88.3972,-15.34,98,41,3.56,RU,scattered clouds,2022-11-08 20:27:44
28,Jalu,29.0331,21.5482,68.2,56,33,3.6,LY,scattered clouds,2022-11-08 20:27:44
29,Polson,47.6936,-114.1632,22.77,75,92,4.25,US,overcast clouds,2022-11-08 20:27:45
30,Hobart,-42.8794,147.3294,58.05,85,0,8.05,AU,clear sky,2022-11-08 20:27:45
31,Pyapon,16.2833,95.6833,70.95,82,12,5.55,MM,few clouds,2022-11-08 20:27:45
32,Severo-Kurilsk,50.6789,156.125,34.84,66,100,10.42,RU,overcast clouds,2022-11-08 20:27:46
33,Saint George,37.1041,-113.5841,71.26,38,100,16.11,US,overcast clouds,2022-11-08 20:27:47
34,Chuy,-33.6971,-53.4616,64.96,63,0,11.68,UY,clear sky,2022-11-08 20:27:47
35,Khatanga,71.9667,102.5,-17.7,100,99,6.29,RU,overcast clouds,2022-11-08 20:24:16
36,Hilo,19.7297,-155.09,82.26,69,75,8.05,US,broken clouds,2022-11-08 20:27:48
37,Lapeer,43.0514,-83.3188,55.67,60,0,5.75,US,clear sky,2022-11-08 20:27:48
38,Saskylakh,71.9167,114.0833,-5.13,99,100,2.8,RU,overcast clouds,2022-11-08 20:27:49
39,Konstantinovka,49.6167,127.9833,33.33,56,100,10.13,RU,overcast clouds,2022-11-08 20:27:49
40,Adrar,20.5022,-10.0711,81.52,13,98,9.62,MR,overcast clouds,2022-11-08 20:27:50
41,Bethanien,-26.502,17.1583,69.67,34,54,11.41,NA,broken clouds,2022-11-08 20:27:50
